id,question,skill,choice1,choice2,choice3,choice4,correct_choice,explanation1,explanation2,explanation3,explanation4,category,status
19588,What was the name of the first man created by God according to the Old Testament?,medium,David,Adam,Moses,Abraham,2,"David was a king in Israel and a prominent figure in the Bible, but he was not the first man created by God.","Adam was the first man created by God, according to the Old Testament. He was placed in the Garden of Eden and given the command to tend to it.","Moses was a great leader in Israel who received the Ten Commandments from God, but he was not the first man created by God.","Abraham was a faithful servant of God and considered the father of many nations, but he was not the first man created by God.",Old Testament Characters,checked 03-06-2023
19589,Which Old Testament character killed a lion with his bare hands?,medium,David,Samson,Moses,Saul,2,David slayed Goliath with a stone and sling.,"Samson was a man of incredible strength. On one occasion, he killed a lion with his bare hands.",Moses led the Israelites out of Egypt and received the Ten Commandments from God.,"Saul was the first king of Israel, chosen by God but ultimately rejected due to his disobedience.",Old Testament Characters,checked 03-06-2023
19590,Who was the father of King David?,medium,Isaiah,Solomon,Jesse,Samuel,3,"Isaiah was a prophet, not the father of David.","Solomon was David's son, not his father.",Jesse was the father of David.,"Samuel was a prophet who anointed David as king, but he was not his father.",Old Testament Characters,checked 03-06-2023
19591,Who was the wife of Isaac and the mother of Jacob and Esau?,medium,Rebecca,Leah,Sarah,Rachel,1,Rebecca was the wife of Isaac and the mother of Jacob and Esau.,Leah was one of the wives of Jacob and the mother of several of his sons.,Sarah was the wife of Abraham and the mother of Isaac.,"Rachel was one of the wives of Jacob, and the mother of Joseph and Benjamin.",Old Testament Characters,checked 03-06-2023
19592,Who was the prophet who was swallowed by a great fish?,medium,Jonah,Elijah,Elisha,Isaiah,1,"Jonah was commanded by God to go to Nineveh and preach to the people there, but he rebelled and went in the opposite direction. God sent a great fish to swallow him, and Jonah repented and finally preached to Nineveh as God had commanded.",Elijah was a prophet who confronted the idolatry of the Israelites and challenged the prophets of the false god Baal.,"Elisha was a prophet who succeeded Elijah and performed many miracles, including healing the sick and raising the dead.",Isaiah was a prophet who lived in the southern kingdom of Judah. He prophesied about the coming of the Messiah and the eventual salvation of Israel.,Old Testament Characters,checked 03-06-2023
19593,Which Old Testament character killed an Egyptian and had to flee to Midian?,medium,Moses,David,Solomon,Joseph,1,"Moses was born in Egypt and was adopted by Pharaoh's daughter. When he saw an Egyptian beating a Hebrew, he killed the Egyptian and had to flee to Midian to escape punishment.",David was a king of Israel who is known for slaying Goliath and establishing Jerusalem as the capital city.,Solomon was a king of Israel who was known for his wisdom and wealth. He built the First Temple in Jerusalem.,Joseph was a son of Jacob who was sold into slavery by his brothers. He became a powerful ruler in Egypt and saved his family from famine.,Old Testament Characters,checked 03-06-2023
19594,Who betrayed Jesus with a kiss in the Garden of Gethsemane?,medium,Matthew,Mark,Luke,Judas,4,Matthew is one of Jesus' disciples.,Mark is one of Jesus' disciples.,Luke is one of Jesus' disciples.,"Judas betrayed Jesus with a kiss, leading to his arrest and eventual crucifixion.",New Testament Characters,checked 03-06-2023
19595,Who was the disciple that betrayed Jesus Christ?,medium,John,James,Judas,Paul,3,"John was one of the twelve apostles of Jesus, but he was not the one who betrayed Jesus.","James was also one of the twelve apostles of Jesus, but he was not the one who betrayed Jesus either.",Judas Iscariot was one of the twelve apostles of Jesus and he betrayed Jesus by identifying him to the soldiers with a kiss.,"Paul, also known as Saul, was not one of the twelve apostles of Jesus and he did not betray Jesus.",New Testament Characters,checked 03-06-2023
19596,Who betrayed Jesus Christ and handed him over to the Roman authorities?,medium,Peter,Judas Iscariot,John,Andrew,2,"Peter was one of the twelve apostles of Jesus Christ, but he never betrayed him.","Judas Iscariot was one of the twelve apostles of Jesus Christ, but he betrayed him to the Roman authorities for thirty pieces of silver.","John was one of the twelve apostles of Jesus Christ, but he never betrayed him.","Andrew was one of the twelve apostles of Jesus Christ, but he never betrayed him.",New Testament Characters,checked 03-06-2023
19597,Who was the apostle that betrayed Jesus Christ?,medium,Andrew,Judas Iscariot,James,Matthew,2,"Andrew was one of the twelve apostles, but he did not betray Jesus.",Judas Iscariot was one of Jesus' twelve apostles who famously betrayed him to the authorities for thirty pieces of silver.,"James was one of the twelve apostles, but he did not betray Jesus.","Matthew was one of the twelve apostles, but he did not betray Jesus.",New Testament Characters,checked 03-06-2023
19598,Which New Testament character is known for being a tax collector before becoming an apostle?,medium,Matthew,Luke,Mark,John,1,"Matthew, originally known as Levi, was a tax collector before Jesus called him to become a disciple.",Luke was a physician and author of the Gospel of Luke and the Book of Acts.,Mark was a companion of the apostle Paul and author of the Gospel of Mark.,"John was a disciple of Jesus and author of the Gospel of John, as well as several letters.",New Testament Characters,checked 03-06-2023
19599,Who was the first son of Adam and Eve?,medium,Cain,Abel,Seth,Enoch,1,Cain was the first son of Adam and Eve mentioned in the Old Testament.,Abel was the second son of Adam and Eve.,Seth was the third son of Adam and Eve.,"Enoch was the son of Jared and the father of Methuselah, but he was not the son of Adam and Eve.",Old Testament Characters,checked 03-06-2023
19600,Which Old Testament character was known for his dreams and ability to interpret them?,medium,Daniel,Joseph,Moses,David,2,"Daniel was known for his wisdom and ability to interpret dreams, but he lived several hundred years after Joseph.","Joseph was sold into slavery by his jealous brothers, but eventually rose to become a high-ranking official in Egypt and was known for his ability to interpret dreams.","Moses was known for leading the Israelites out of slavery in Egypt and receiving the Ten Commandments from God, but he was not known for his dreams.","David was a king of Israel and known for his military prowess and as a musician, but he was not known for his dreams.",Old Testament Characters,checked 03-06-2023
19601,Who was the first prophet in the Bible?,medium,Elijah,Moses,Elisha,Isaiah,2,Elijah was not the first prophet in the Bible.,"Moses was the first prophet in the Bible, according to Deuteronomy 34:10.","Elisha was a prophet, but he wasn't the first in the Bible.","Isaiah was a prophet who lived much later than Moses, so he couldn't be the first prophet in the Bible.",Old Testament Characters,checked 03-06-2023
